NR,0+98+100+101+102
NR609170,101
NR609171,101
NR609172,101
NR609173,101
NR609174,101
NR609175,101
NR609176,101
NR609177,101
NR609178,101
NR609179,101
NR6116,101
NR6117,101
NR61E,0+101
NR6018,0+101
NR602180,0+101
NR603180,0+101
NR604180,0+101
NR604181,0+101
NR605180,101
NR605181,101
NR605182,0+101
NR605183,0+101
NR606180,101
NR606181,101
NR606182,101
NR606183,0+101
NR607180,101
NR607181,101
NR607182,101
NR607183,101
NR607184,0+101
NR608180,101
NR608181,101
NR608182,101
NR608183,101
NR608184,0+101
NR608185,0+101
NR608186,0+101
NR609180,101
NR609181,101
NR609182,101
NR609183,101
NR609184,101
NR609185,101
NR609186,0+101
NR609187,0+101
NR6118,0+101
NR610180,101
NR610181,101
NR610182,101
NR610183,101
NR610184,101
NR610185,101
NR610186,101
NR610187,0+101
NR610188,0+101
NR611180,101
NR611181,101
NR611182,101
NR611183,101
NR611184,101
NR611185,101
NR611186,101
NR611187,101
NR611188,0+101
NR611189,0+101
NR612180,101
NR612181,101
NR612182,101
NR612183,101
NR612184,101
NR612185,101
NR612186,101
NR612187,101
NR612188,101
NR612189,0+101
NR613180,101
NR613181,101
NR613182,101
NR613183,101
NR613184,101
NR613185,101
NR613186,101
NR613187,101
NR613188,101
NR613189,101
NR614180,101
NR614181,101
NR614182,101
NR614183,101
NR614184,101
NR614185,101
NR614186,101
NR614187,101
NR614188,101
NR614189,101
NR615180,101
NR615181,101
NR615182,101
NR615183,101
NR615184,101
NR615185,101
NR615186,101
NR615187,101
NR615188,101
NR615189,101
NR616180,101
NR616181,101
NR616182,101
NR616183,101
NR616184,101
NR616185,101
NR616186,101
NR616187,101
NR616188,101
NR616189,101
NR617180,101
NR617181,101
NR617182,101
NR617183,101
NR617184,101
NR617185,101
NR617186,101
NR617187,101
NR617188,101
NR617189,101
NR618180,101
NR618181,101
NR618182,101
NR618183,101
NR618184,101
NR618185,101
NR618186,101
NR618187,101
NR618188,101
