ST,0+3+4+5+6+7+8+9+33+34+35+41
ST096172,3
ST096173,3
ST096174,3
ST096175,3
ST096176,3
ST096177,3
ST096178,3
ST096179,3+5
ST097170,3
ST097171,3
ST097172,3
ST097173,3
ST097174,3
ST097175,3
ST097176,3
ST097177,3
ST097178,3
ST097179,3+5
ST098170,3
ST098171,3
ST098172,3
ST098173,3
ST098174,3
ST098175,3
ST098176,3
ST098177,3
ST098178,3
ST098179,3+5
ST099170,3
ST099171,3
ST099172,3
ST099173,3
ST099174,3
ST099175,3
ST099176,3
ST099177,3
ST099178,3+5
ST099179,3+5
ST01Z,3+5
ST0818,3+5
ST080180,3
ST080181,3
ST080182,3
ST080183,3
ST080184,3
ST080185,3
ST080186,3
ST080187,3
ST080188,3
ST080189,3
ST081180,3
ST081181,3
ST081182,3
ST081183,3
ST081184,3
ST081185,3
ST081186,3
ST081187,3
ST081188,3
ST081189,3
ST082180,3
ST082181,3
ST082182,3
ST082183,3
ST082184,3
ST082185,3
ST082186,3
ST082187,3
ST082188,3
ST082189,3
ST083180,3
ST083181,3
ST083182,3
ST083183,3
ST083184,3
ST083185,3
ST083186,3
ST083187,3
ST083188,3
ST083189,3
ST084180,3
ST084181,3
ST084182,3
ST084183,3
ST084184,3
ST084185,3
ST084186,3
ST084187,3
ST084188,3
ST084189,3
ST085180,3
ST085181,3
ST085182,3
ST085183,3
ST085184,3
ST085185,3
ST085186,3
ST085187,3
ST085188,3
ST085189,3
ST086180,3
ST086181,3
ST086182,3
ST086183,3
ST086184,3
ST086185,3
ST086186,3
ST086187,3
ST086188,3
ST086189,3+5
ST087180,3
ST087181,3
ST087182,3
ST087183,3
ST087184,3
ST087185,3
ST087186,3
ST087187,3
ST087188,3+5
ST087189,3+5
ST088180,3
ST088181,3
ST088182,3
ST088183,3
ST088184,3
ST088185,3+5
ST088186,3+5
ST088187,3+5
ST088188,3+5
ST088189,5
ST089180,3
ST089181,3
ST089182,3
ST089183,3+5
ST089184,3+5
ST089185,3+5
ST089186,5
ST089187,5
ST089188,5
ST089189,5
ST0819,3+5
ST080190,3
ST080191,3
ST080192,3
ST080193,3
ST080194,3+5
ST080195,5
ST080196,5
ST080197,5
ST080198,5
ST080199,5
ST081190,3
ST081191,3
ST081192,3
ST081193,3+5
ST081194,3+5
ST081195,5
ST081196,5
ST081197,5
ST081198,5
ST081199,5
ST082190,3
ST082191,3
ST082192,3+5
ST082193,3+5
ST082194,5
ST082195,5
ST082196,5
ST082197,5
ST082198,5
ST082199,5
ST083190,3
ST083191,3
ST083192,3+5
ST083193,5
ST083194,5
ST083195,5
ST083196,5
ST083197,5
ST083198,5
ST083199,5
ST084190,3
ST084191,3+5
ST084192,3+5
ST084193,5
ST084194,5
