NG,0+97+104+105+110
NG005861,0
NG005862,0
NG005863,0+110
NG005864,0+110
NG005865,0
NG005866,0
NG005867,0
NG005868,0
NG005869,0+110
NG006860,0+110
NG006861,0
NG006862,0
NG006863,0
NG006864,0
NG006865,0
NG006866,0
NG006867,0
NG006868,0+110
NG006869,0+110
NG007860,0
NG007861,0
NG007862,0
NG007863,0
NG007864,0
NG007865,0
NG007866,0
NG007867,0+110
NG007868,0+110
NG007869,110
NG008860,0
NG008861,0
NG008862,0
NG008863,0
NG008864,0
NG008865,0
NG008866,0+110
NG008867,0+110
NG008868,110
NG008869,110
NG009860,0+110
NG009861,0
NG009862,0
NG009863,0
NG009864,0+110
NG009865,0+110
NG009866,0+110
NG009867,110
NG009868,110
NG009869,110
NG0087,0+110
NG000870,0
NG000871,0
NG000872,0
NG000873,0
NG000874,0+110
NG000875,0+110
NG000876,0+110
NG000877,110
NG000878,110
NG000879,110
NG001870,0
NG001871,0
NG001872,0+110
NG001873,0+110
NG001874,0+110
NG001875,110
NG001876,110
NG001877,110
NG001878,110
NG001879,110
NG002870,0
NG002871,0
NG002872,0+110
NG002873,110
NG002874,110
NG002875,110
NG002876,110
NG002877,110
NG002878,110
NG002879,110
NG003870,0
NG003871,0+110
NG003872,0+110
NG003873,110
NG003874,110
NG003875,110
NG003876,110
NG003877,110
NG003878,110
NG003879,110
NG004870,0+110
NG004871,0+110
NG004872,110
NG004873,110
NG004874,110
NG004875,110
NG004876,110
NG004877,110
NG004878,110
NG004879,110
NG005870,0+110
NG005871,110
NG005872,110
NG005873,110
NG005874,110
NG005875,110
NG005876,110
NG005877,110
NG005878,110
NG005879,110
NG006870,110
NG006871,110
NG006872,110
NG006873,110
NG006874,110
NG006875,110
NG006876,110
NG006877,110
NG006878,110
NG006879,110
NG007870,110
NG007871,110
NG007872,110
NG007873,110
NG007874,110
NG007875,110
NG007876,110
NG007877,110
NG007878,110
NG007879,110
NG008870,110
NG008871,110
NG008872,110
NG008873,110
NG008874,110
NG008875,110
NG008876,110
NG008877,110
NG008878,110
NG008879,110
NG009870,110
NG009871,110
NG009872,110
NG009873,110
NG009874,110
NG009875,110
NG009876,110
NG009877,110
NG009878,110
NG009879,110
NG0186,0+110
NG010860,0+110
NG010861,0+110
NG010862,0
NG010863,0
NG010864,0+110
NG010865,110
NG010866,110
NG010867,110
NG010868,110
NG010869,0+110
NG011860,0+110
NG011861,0+110
NG011862,0
NG011863,0+110
NG011864,0+110
NG011865,0+110
NG011866,0+110
NG011867,0+110
NG011868,0+110
NG011869,0+110
NG012860,0+110
NG012861,0+110
NG012862,0+110
NG012863,0+110
NG012864,0+110
NG012865,0+110
NG012866,0+110
NG012867,0+110
NG012868,0+110
NG012869,0+110
NG013860,0+110
NG013861,0
NG013862,0+110
NG013863,0+110
NG013864,110
NG013865,110
NG013866,110
NG013867,110
NG013868,0+110
NG013869,0+110
NG014860,0+110
NG014861,0+110
NG014862,0+110
NG014863,110
NG014864,110
NG014865,110
NG014866,110
NG014867,0+110
NG014868,0+110
NG014869,0+110
NG015860,0+110
NG015861,110
NG015862,110
NG015863,110
NG015864,110
NG015865,110
NG015866,0+110
NG015867,0+110
NG015868,0+110
NG015869,0+110
NG016860,110
NG016861,110
NG016862,110
NG016863,110
NG016864,110
NG016865,0+110
NG016866,0+110
NG016867,0+110
NG016868,0+110
NG016869,110
NG017860,110
NG017861,110
NG017862,110
NG017863,110
NG017864,110
NG017865,0+110
NG017866,0+110
NG017867,0+110
NG017868,110
NG017869,110
NG018860,110
NG018861,110
NG018862,110
NG018863,110
NG018864,110
NG018865,0+110
NG018866,0+110
NG018867,0+110
NG018868,110
NG018869,110
NG019860,110
NG019861,110
NG019862,110
NG019863,110
NG019864,110
NG019865,0+110
NG019866,0+110
