NX,0+70+71+72+73+74+75
NX078428,74
NX078429,74
NX079420,74
NX079421,74
NX079422,74
NX079423,74
NX079424,74
NX079425,74
NX079426,74
NX079427,74
NX079428,74
NX079429,74
NX0743,0+74
NX070430,0
NX070431,0
NX070432,0
NX070433,0
NX070434,0
NX070435,0
NX070436,0
NX070437,0
NX070438,0
NX070439,0+74
NX071430,0
NX071431,0
NX071432,0
NX071433,0
NX071434,0
NX071435,0
NX071436,0
NX071437,0
NX071438,0+74
NX071439,0+74
NX072430,0
NX072431,0
NX072432,0
NX072433,0
NX072434,0
NX072435,0
NX072436,0
NX072437,0+74
NX072438,0+74
NX072439,74
NX073430,0
NX073431,0
NX073432,0
NX073433,0
NX073434,0
NX073435,0
NX073436,0
NX073437,0+74
NX073438,0+74
NX073439,74
NX074430,0
NX074431,0
NX074432,0
NX074433,0
NX074434,0
NX074435,0
NX074436,0+74
NX074437,0+74
NX074438,0+74
NX074439,74
NX075430,0+74
NX075431,0+74
NX075432,0
NX075433,0
NX075434,0
NX075435,0
NX075436,0+74
NX075437,74
NX075438,74
NX075439,74
NX076430,0+74
NX076431,0+74
NX076432,0+74
NX076433,0+74
NX076434,0+74
NX076435,0+74
NX076436,0+74
NX076437,74
NX076438,74
NX076439,74
NX077430,74
NX077431,74
NX077432,0+74
NX077433,0+74
NX077434,0+74
NX077435,0+74
NX077436,74
NX077437,74
NX077438,74
NX077439,74
NX078430,74
NX078431,74
NX078432,74
NX078433,74
NX078434,74
NX078435,74
NX078436,74
NX078437,74
NX078438,74
NX078439,74
NX079430,74
NX079431,74
NX079432,74
NX079433,74
NX079434,74
NX079435,74
NX079436,74
NX079437,74
NX079438,74
NX079439,74
NX04S,0+74
NX0644,0+74
NX060440,0
NX060441,0
NX060442,0
NX060443,0
NX060444,0
NX060445,0
NX060446,0
NX060447,0
NX060448,0
NX060449,0
NX061440,0
NX061441,0
NX061442,0
