NT,0+67+68+72+77+78+79+80+81+82+83+84+85+87
NT030193,77
NT030194,77
NT030195,77
NT030196,77
NT030197,77
NT030198,77
NT030199,77
NT031190,77
NT031191,77
NT031192,77
NT031193,77
NT031194,77
NT031195,77
NT031196,77
NT031197,77
NT031198,77
NT031199,77
NT032190,77
NT032191,77
NT032192,77
NT032193,77
NT032194,77
NT032195,77+78
NT032196,77+78
NT032197,77
NT032198,77
NT032199,77
NT033190,77+78
NT033191,77+78
NT033192,77+78
NT033193,77+78
NT033194,77+78
NT033195,77+78
NT033196,77+78
NT033197,77+78
NT033198,77
NT033199,77
NT034190,78
NT034191,78
NT034192,78
NT034193,78
NT034194,78
NT034195,78
NT034196,78
NT034197,77+78
NT034198,77
NT034199,77
NT035190,78
NT035191,78
NT035192,78
NT035193,78
NT035194,78
NT035195,78
NT035196,78
NT035197,77+78
NT035198,77
NT035199,77
NT036190,78
NT036191,78
NT036192,78
NT036193,78
NT036194,78
NT036195,78
NT036196,78
NT036197,77+78
NT036198,77+78
NT036199,77+78
NT037190,78
NT037191,78
NT037192,78
NT037193,78
NT037194,78
NT037195,78
NT037196,78
NT037197,78
NT037198,78
NT037199,78
NT038190,78
NT038191,78
NT038192,78
NT038193,78
NT038194,78
NT038195,78
NT038196,78
NT038197,78
NT038198,78
NT038199,78
NT039190,78
NT039191,78
NT039192,78
NT039193,78
NT039194,78
NT039195,78
NT039196,78
NT039197,78
NT039198,78
NT039199,78
NT01K,72+77
NT0410,72+77
NT040100,72
NT040101,72
NT040102,72
NT040103,72
NT040104,72
NT040105,72
NT040106,72
NT040107,72
NT040108,72
NT040109,72+77
NT041100,72
NT041101,72
NT041102,72
NT041103,72
NT041104,72
NT041105,72
NT041106,72
NT041107,72
NT041108,72
NT041109,72+77
NT042100,72
NT042101,72
NT042102,72
NT042103,72
NT042104,72
NT042105,72
NT042106,72
NT042107,72
NT042108,72
NT042109,72+77
NT043100,72
NT043101,72
NT043102,72
NT043103,72
NT043104,72
NT043105,72
NT043106,72
NT043107,72
NT043108,72
NT043109,72
NT044100,72
NT044101,72
NT044102,72
NT044103,72
NT044104,72
NT044105,72
NT044106,72
NT044107,72
NT044108,72
NT044109,72
NT045100,72
NT045101,72
NT045102,72
NT045103,72
NT045104,72
NT045105,72
NT045106,72
NT045107,72
NT045108,72
NT045109,72
NT046100,72
NT046101,72
NT046102,72
NT046103,72
NT046104,72
NT046105,72
NT046106,72
NT046107,72
NT046108,72
NT046109,72
NT047100,72
NT047101,72
NT047102,72
NT047103,72
NT047104,72
NT047105,72
NT047106,72
NT047107,72
NT047108,72
NT047109,72
NT048100,72
NT048101,72
NT048102,72
NT048103,72
NT048104,72
NT048105,72
NT048106,72
NT048107,72
NT048108,72
NT048109,72
NT049100,72
NT049101,72
NT049102,72
NT049103,72
NT049104,72
NT049105,72
NT049106,72
NT049107,72
NT049108,72
NT049109,72
NT0411,72+77
NT040110,77
NT040111,77
NT040112,77
NT040113,77
NT040114,77
NT040115,77
NT040116,77
NT040117,77
NT040118,77
NT040119,77
NT041110,77
NT041111,77
NT041112,77
NT041113,77
NT041114,77
NT041115,77
NT041116,77
NT041117,77
NT041118,77
NT041119,77
NT042110,72+77
NT042111,72+77
NT042112,77
NT042113,77
NT042114,77
NT042115,77
NT042116,77
NT042117,77
